customer_zone_id,customer_city,customer_state,demand,customer_latitude,customer_longitude,avg_freight_value,avg_actual_distance_km
sao_paulo_SP,sao paulo,SP,17359,-23.57198126314417,-46.63387579716769,14.275695604585517,217.0200840649138
rio_de_janeiro_RJ,rio de janeiro,RJ,7565,-22.923627372866665,-43.32121979612897,20.56969861202908,468.0312882506144
belo_horizonte_MG,belo horizonte,MG,3077,-19.90993560640339,-43.95637970582333,19.41549886252844,521.7092413952192
brasilia_DF,brasilia,DF,2157,-15.810744714659329,-47.96951753384199,21.1087899860918,830.6771755107036
curitiba_PR,curitiba,PR,1723,-25.45186172903912,-49.27471806196476,18.79210098665119,404.23519691531374
campinas_SP,campinas,SP,1622,-22.90210628071424,-47.07480196598523,14.954969173859432,228.56315040129195
porto_alegre_RS,porto alegre,RS,1567,-30.04983555249993,-51.186021910758456,20.671914486279515,877.1070016757509
salvador_BA,salvador,BA,1349,-12.959523034948807,-38.45821835564978,25.378613787991103,1402.125960689663
guarulhos_SP,guarulhos,SP,1292,-23.44495243289397,-46.49858442326199,14.464798761609908,223.45122814342187
sao_bernardo_do_campo_SP,sao bernardo do campo,SP,1037,-23.706925248117653,-46.5645913990011,13.702892960462874,205.92563326698797
niteroi_RJ,niteroi,RJ,956,-22.895656455043287,-43.085011601320254,20.396223849372387,487.0010168915021
santo_andre_SP,santo andre,SP,870,-23.661437311247447,-46.52183635666706,14.210436781609197,234.744383980797
osasco_SP,osasco,SP,830,-23.537098375926018,-46.78761478824816,13.990530120481926,214.1646219053788
santos_SP,santos,SP,810,-23.96376663568108,-46.3272193832866,15.74541975308642,223.8529063156973
goiania_GO,goiania,GO,781,-16.685975020219033,-49.27280419548432,21.401856594110114,774.843350997161
sao_jose_dos_campos_SP,sao jose dos campos,SP,758,-23.21207391646352,-45.88491160494243,14.595237467018473,249.08871510404492
fortaleza_CE,fortaleza,CE,692,-3.763521167908132,-38.53359828114688,28.36593930635838,2270.6391669412938
sorocaba_SP,sorocaba,SP,687,-23.488065433500964,-47.46506817530658,15.134978165938865,225.39378553350613
recife_PE,recife,PE,656,-8.067872047771525,-34.91269251937874,29.89202743902439,2044.2799664419888
florianopolis_SC,florianopolis,SC,647,-27.573827052833163,-48.515387381548365,21.29143740340031,590.3168066018545
jundiai_SP,jundiai,SP,641,-23.1848429301922,-46.90511385387179,15.450998439937598,227.89828736498848
ribeirao_preto_SP,ribeirao preto,SP,570,-21.18279739147177,-47.80520748062762,16.692877192982458,319.0354365793114
nova_iguacu_RJ,nova iguacu,RJ,486,-22.743284313547985,-43.47091319682051,21.054526748971192,469.7304394683542
contagem_MG,contagem,MG,475,-19.917084919307605,-44.05881544689928,18.15722105263158,508.223297738601
belem_PA,belem,PA,474,-1.417116348298761,-48.46915391860634,31.46943037974684,2396.3072579687428
barueri_SP,barueri,SP,469,-23.505395008257263,-46.86934631725436,15.098912579957355,214.47267560196892
juiz_de_fora_MG,juiz de fora,MG,468,-21.755703329742776,-43.3612448563444,22.13403846153846,469.77563341988434
mogi_das_cruzes_SP,mogi das cruzes,SP,435,-23.527751700628755,-46.19044076605298,14.879080459770114,228.11632136864628
sao_goncalo_RJ,sao goncalo,RJ,421,-22.82949712925306,-43.02709912169263,20.3012351543943,529.4060240167545
vitoria_ES,vitoria,ES,417,-20.28815532367793,-40.29945292095655,22.40357314148681,812.1396607980214
