customer_zone_id,customer_city,customer_state,demand,customer_latitude,customer_longitude,avg_freight_value_x,avg_actual_distance_km_x,seller_center_id,seller_zip_code_prefix,seller_city,seller_state,historical_orders,seller_latitude,seller_longitude,avg_freight_value_y,avg_actual_distance_km_y,warehouse_capacity,capacity_utilization_if_proportional,distance_km,cost_per_km_per_order,transportation_cost,allocated_demand,optimized_transportation_cost
barueri_SP,barueri,SP,469,-23.505395008257263,-46.86934631725436,15.098912579957355,214.4726756019689,FC_13405_piracicaba_SP,13405,piracicaba,SP,1562,-22.708702100662567,-47.66470085247146,16.162823303457106,402.10211782744506,3688,0.4235357917570499,120.2687225284667,1.0,56406.03086585088,469.0,56406.03086585088
belem_PA,belem,PA,474,-1.417116348298761,-48.46915391860634,31.46943037974684,2396.3072579687428,FC_15025_sao_jose_do_rio_preto_SP,15025,sao jose do rio preto,SP,1998,-20.80670693101839,-49.389164535249215,18.31210710710711,691.0924322160539,4717,0.4235743057027772,2158.3347769642114,1.0,1023050.6842810364,474.0,1023050.6842810363
belo_horizonte_MG,belo horizonte,MG,3077,-19.90993560640339,-43.95637970582333,19.41549886252844,521.7092413952192,FC_14840_guariba_SP,14840,guariba,SP,1147,-21.36350170979939,-48.22960077888057,17.43456843940715,610.5904937641259,2708,0.423559822747415,473.1067910248104,1.0,1455749.5959833418,271.0,128211.94036772361
belo_horizonte_MG,belo horizonte,MG,3077,-19.90993560640339,-43.95637970582333,19.41549886252844,521.7092413952192,FC_14940_ibitinga_SP,14940,ibitinga,SP,7595,-21.75732063771276,-48.82974353343716,17.77237788018433,539.5559178849824,17934,0.4234972677595628,546.4891564431355,1.0,1681547.1343755275,2806.0,1533448.5729794381
brasilia_DF,brasilia,DF,2157,-15.810744714659329,-47.96951753384199,21.1087899860918,830.6771755107036,FC_15025_sao_jose_do_rio_preto_SP,15025,sao jose do rio preto,SP,1998,-20.80670693101839,-49.389164535249215,18.31210710710711,691.0924322160539,4717,0.4235743057027772,575.3691616366855,1.0,1241071.2816503306,2157.0,1241071.2816503306
campinas_SP,campinas,SP,1622,-22.90210628071424,-47.07480196598523,14.954969173859432,228.56315040129195,FC_13405_piracicaba_SP,13405,piracicaba,SP,1562,-22.708702100662567,-47.66470085247146,16.162823303457106,402.10211782744506,3688,0.4235357917570499,64.17651759260667,1.0,104094.31153520802,1622.0,104094.31153520802
contagem_MG,contagem,MG,475,-19.917084919307605,-44.05881544689928,18.15722105263158,508.223297738601,FC_14840_guariba_SP,14840,guariba,SP,1147,-21.36350170979939,-48.22960077888057,17.43456843940715,610.5904937641259,2708,0.423559822747415,462.81794969556427,1.0,219838.52610539304,475.0,219838.52610539302
curitiba_PR,curitiba,PR,1723,-25.45186172903912,-49.27471806196476,18.79210098665119,404.23519691531374,FC_14940_ibitinga_SP,14940,ibitinga,SP,7595,-21.75732063771276,-48.82974353343716,17.77237788018433,539.5559178849824,17934,0.4234972677595628,413.30719149224495,1.0,712128.290941138,1723.0,712128.290941138
florianopolis_SC,florianopolis,SC,647,-27.573827052833163,-48.515387381548365,21.29143740340031,590.3168066018545,FC_14940_ibitinga_SP,14940,ibitinga,SP,7595,-21.75732063771276,-48.82974353343716,17.77237788018433,539.5559178849824,17934,0.4234972677595628,647.5445121956247,1.0,418961.2993905692,647.0,418961.2993905692
fortaleza_CE,fortaleza,CE,692,-3.763521167908132,-38.53359828114688,28.36593930635838,2270.6391669412938,FC_15025_sao_jose_do_rio_preto_SP,15025,sao jose do rio preto,SP,1998,-20.80670693101839,-49.389164535249215,18.31210710710711,691.0924322160539,4717,0.4235743057027772,2229.486297235517,1.0,1542804.517686978,692.0,1542804.517686978
goiania_GO,goiania,GO,781,-16.685975020219033,-49.27280419548432,21.401856594110114,774.843350997161,FC_15025_sao_jose_do_rio_preto_SP,15025,sao jose do rio preto,SP,1998,-20.80670693101839,-49.389164535249215,18.31210710710711,691.0924322160539,4717,0.4235743057027772,458.3681701091951,1.0,357985.54085528135,781.0,357985.54085528135
guarulhos_SP,guarulhos,SP,1292,-23.44495243289397,-46.49858442326199,14.464798761609908,223.45122814342187,FC_13232_campo_limpo_paulista_SP,13232,campo limpo paulista,SP,1177,-23.21174633273221,-46.762875138051314,19.43606627017842,508.7518574552949,2779,0.4235336451961137,37.42514621998485,1.0,48353.28891622043,1005.0,37612.271951084775
guarulhos_SP,guarulhos,SP,1292,-23.44495243289397,-46.49858442326199,14.464798761609908,223.45122814342187,FC_3426_sao_paulo_SP,3426,sao paulo,SP,1152,-23.552336441109286,-46.53686856423848,17.834270833333335,622.6592477369251,2720,0.4235294117647059,12.562557478226443,1.0,16230.824261868567,287.0,3605.4539962509893
juiz_de_fora_MG,juiz de fora,MG,468,-21.755703329742776,-43.3612448563444,22.13403846153846,469.77563341988434,FC_14940_ibitinga_SP,14940,ibitinga,SP,7595,-21.75732063771276,-48.82974353343716,17.77237788018433,539.5559178849824,17934,0.4234972677595628,564.7255252338265,1.0,264291.5458094308,468.0,264291.54580943077
jundiai_SP,jundiai,SP,641,-23.1848429301922,-46.90511385387179,15.450998439937598,227.89828736498848,FC_13405_piracicaba_SP,13405,piracicaba,SP,1562,-22.708702100662567,-47.66470085247146,16.162823303457106,402.10211782744506,3688,0.4235357917570499,94.08795722169802,1.0,60310.38057910843,641.0,60310.38057910843
mogi_das_cruzes_SP,mogi das cruzes,SP,435,-23.527751700628755,-46.19044076605298,14.879080459770114,228.11632136864628,FC_8577_itaquaquecetuba_SP,8577,itaquaquecetuba,SP,1441,-23.48611145466222,-46.36672076531711,37.76691880638445,547.6086022236634,3402,0.4235743680188125,18.561527820824725,1.0,8074.264602058755,435.0,8074.264602058755
niteroi_RJ,niteroi,RJ,956,-22.895656455043287,-43.085011601320254,20.396223849372387,487.0010168915021,FC_14940_ibitinga_SP,14940,ibitinga,SP,7595,-21.75732063771276,-48.82974353343716,17.77237788018433,539.5559178849824,17934,0.4234972677595628,604.2538286381789,1.0,577666.6601780991,956.0,577666.6601780991
nova_iguacu_RJ,nova iguacu,RJ,486,-22.743284313547985,-43.47091319682051,21.054526748971192,469.7304394683542,FC_14940_ibitinga_SP,14940,ibitinga,SP,7595,-21.75732063771276,-48.82974353343716,17.77237788018433,539.5559178849824,17934,0.4234972677595628,562.2582573670996,1.0,273257.5130804104,486.0,273257.5130804104
osasco_SP,osasco,SP,830,-23.537098375926018,-46.78761478824816,13.990530120481926,214.1646219053788,FC_5849_sao_paulo_SP,5849,sao paulo,SP,2004,-23.65236617784017,-46.75575337195746,13.733612774451098,600.1033323270341,4732,0.4234995773457312,13.221996264301042,1.0,10974.256899369864,830.0,10974.256899369864
porto_alegre_RS,porto alegre,RS,1567,-30.04983555249993,-51.186021910758456,20.671914486279515,877.1070016757509,FC_14940_ibitinga_SP,14940,ibitinga,SP,7595,-21.75732063771276,-48.82974353343716,17.77237788018433,539.5559178849824,17934,0.4234972677595628,951.6411515719044,1.0,1491221.6845131742,1567.0,1491221.6845131742
recife_PE,recife,PE,656,-8.067872047771525,-34.91269251937874,29.89202743902439,2044.2799664419888,FC_14840_guariba_SP,14840,guariba,SP,1147,-21.36350170979939,-48.22960077888057,17.43456843940715,610.5904937641259,2708,0.423559822747415,2055.516321580985,1.0,1348418.706957126,43.0,88387.20182798235
recife_PE,recife,PE,656,-8.067872047771525,-34.91269251937874,29.89202743902439,2044.2799664419888,FC_15025_sao_jose_do_rio_preto_SP,15025,sao jose do rio preto,SP,1998,-20.80670693101839,-49.389164535249215,18.31210710710711,691.0924322160539,4717,0.4235743057027772,2103.262116441584,1.0,1379739.948385679,613.0,1289299.677378691
ribeirao_preto_SP,ribeirao preto,SP,570,-21.18279739147177,-47.80520748062762,16.692877192982458,319.0354365793114,FC_14840_guariba_SP,14840,guariba,SP,1147,-21.36350170979939,-48.22960077888057,17.43456843940715,610.5904937641259,2708,0.423559822747415,48.34803595780527,1.0,27558.380495949,570.0,27558.380495949004
rio_de_janeiro_RJ,rio de janeiro,RJ,7565,-22.923627372866665,-43.32121979612897,20.56969861202908,468.0312882506144,FC_13232_campo_limpo_paulista_SP,13232,campo limpo paulista,SP,1177,-23.21174633273221,-46.762875138051314,19.43606627017842,508.7518574552949,2779,0.4235336451961137,353.54123281684707,1.0,2674539.4262594483,1016.0,359197.89254191663
